Date,Open,High,Low,Close ,Volume
28-Aug-24,5624.51,5627.03,5560.95,5592.18,3053450000
27-Aug-24,5602.89,5631.18,5593.48,5625.8,2798990000
26-Aug-24,5639.66,5651.62,5602.34,5616.84,2938570000
23-Aug-24,5602.49,5641.82,5585.16,5634.61,3291940000
22-Aug-24,5637.77,5643.22,5560.95,5570.64,2981530000
21-Aug-24,5603.09,5632.68,5591.57,5620.85,3119670000
20-Aug-24,5602.88,5620.51,5585.5,5597.12,2994420000
19-Aug-24,5557.23,5608.3,5550.74,5608.25,3222050000
16-Aug-24,5530.5,5561.98,5525.17,5554.25,3357690000
15-Aug-24,5501.13,5546.23,5501.13,5543.22,3723310000
14-Aug-24,5442.36,5463.22,5415.91,5455.21,3380050000
13-Aug-24,5376.98,5436.5,5376.98,5434.43,3648980000
12-Aug-24,5351.88,5371.2,5324.37,5344.39,3360160000
9-Aug-24,5314.66,5358.67,5300.84,5344.16,3516400000
8-Aug-24,5252.57,5328.03,5233.85,5319.31,4016830000
7-Aug-24,5293.13,5330.64,5195.54,5199.5,4558260000
6-Aug-24,5206.42,5312.34,5193.56,5240.03,4690190000
5-Aug-24,5151.14,5250.89,5119.26,5186.33,5333250000
2-Aug-24,5376.63,5383.89,5302.03,5346.56,5156450000
1-Aug-24,5537.84,5566.16,5410.42,5446.68,4703620000
31-Jul-24,5505.59,5551.51,5493.75,5522.3,4546910000
30-Jul-24,5478.73,5489.46,5401.7,5436.44,3777740000
29-Jul-24,5476.55,5487.74,5444.44,5463.54,3379970000
26-Jul-24,5433.67,5488.32,5430.7,5459.1,3638770000
25-Jul-24,5428.7,5491.59,5390.95,5399.22,4592120000
24-Jul-24,5505.84,5508.04,5419.98,5427.13,3945550000
23-Jul-24,5565.3,5585.34,5550.9,5555.74,3500210000
22-Jul-24,5544.54,5570.36,5529.04,5564.41,3375180000
19-Jul-24,5543.37,5557.5,5497.04,5505,3760570000
18-Jul-24,5608.56,5614.05,5522.81,5544.59,4007510000
17-Jul-24,5610.07,5622.49,5584.81,5588.27,4246450000
16-Jul-24,5644.09,5669.67,5639.02,5667.2,4041760000
15-Jul-24,5638.16,5666.94,5614.75,5631.22,3620470000
12-Jul-24,5590.76,5655.56,5590.44,5615.35,3700280000
11-Jul-24,5635.21,5642.45,5576.53,5584.54,4020950000
10-Jul-24,5591.26,5635.39,5586.44,5633.91,3336100000
9-Jul-24,5584.24,5590.75,5574.57,5576.98,3232920000
